date,total,china,usa,vietnam,hongkong,japan,korea_index,oecd_index,ex_rate,oil
2020-02-01,40911818805,8824933471,5931571874,3931516792,2546965586,2265044812,98.9113,98.83873,1193.79,50.54
2020-03-01,46167203855,10643503407,7281215108,3998333951,3172786959,2485052839,98.90107,95.88287,1220.09,30.45
2020-04-01,36270182837,10151494828,5277225836,2713976274,2379361597,1984660364,98.9196,88.69578,1225.23,16.7
2020-05-01,34854511400,10743735243,4589357750,2917842478,2362302297,1781736895,98.99467,91.79689,1228.67,28.53
2020-06-01,39214070630,11443239696,5735514639,3503966589,2337610130,1849842809,99.16191,96.05669,1210.01,38.31
2020-07-01,42785144050,11726183448,6596978783,4203037693,2034337542,1999257195,99.41719,97.63802,1198.9,40.77
2020-08-01,39469230580,10937537712,5581925095,4107144926,2150968919,1761392723,99.72765,98.13431,1186.85,42.39
2020-09-01,47819947522,12185274325,6997553830,4796012203,3005224076,2156620830,100.0586,98.3217,1178.8,39.63
2020-10-01,44818534427,11527355549,6562208994,4508943206,2731820714,1924047355,100.3767,98.45467,1144.68,39.55
2020-11-01,45751883232,12029854423,6664272439,4506085066,2635980263,2122869801,100.6701,98.63699,1116.76,41.35
